tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
10739394,10739395,1000,e49acc12e2c99f55e03314cea930a4e812a186f9,ruby,broken,,ruby,rspec,true,true,313,2,315,1,,,,"",22.75,
10739394,10739396,1000,e49acc12e2c99f55e03314cea930a4e812a186f9,ruby,ok,,ruby,rspec,true,false,315,0,315,1,,,,"",30.24,
10739449,10739450,1001,d0f5f61aafb98092179b024e336784937168a3ba,ruby,ok,,ruby,rspec,true,false,315,0,315,1,,,,"",23.2,
10739449,10739451,1001,d0f5f61aafb98092179b024e336784937168a3ba,ruby,ok,,ruby,rspec,true,false,315,0,315,1,,,,"",19.58,
10741050,10741051,1002,119c0850a02fe992b943b64bb9e5c0bbb25688c1,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
10741050,10741052,1002,119c0850a02fe992b943b64bb9e5c0bbb25688c1,ruby,broken,,ruby,rspec,true,true,314,1,315,1,,,,"",42.31,
10741814,10741815,1003,2316ef82ba23d99fe384a65da5c45ad2bb6bda64,unknown,unknown,,plain,"",false,,,,,,,,,"",,
10741814,10741816,1003,2316ef82ba23d99fe384a65da5c45ad2bb6bda64,ruby,ok,,ruby,rspec,true,false,321,0,321,1,,,,"",26.92,
10741842,10741843,1004,9a2de3ace3eca77ebe2bdf8eb5800db5c7a3dcd0,ruby,ok,,ruby,rspec,true,false,321,0,321,1,,,,"",39.19,
10741842,10741844,1004,9a2de3ace3eca77ebe2bdf8eb5800db5c7a3dcd0,ruby,ok,,ruby,rspec,true,false,321,0,321,1,,,,"",13.54,
10742026,10742027,1005,18496cda873b7b7b98c349917e7061c48bef6042,ruby,ok,,ruby,rspec,true,false,321,0,321,1,,,,"",56.96,
10742026,10742028,1005,18496cda873b7b7b98c349917e7061c48bef6042,ruby,ok,,ruby,rspec,true,false,321,0,321,1,,,,"",14.21,
10742171,10742172,1006,485646bd40a0142219e9f4f34e531a2e82c45536,ruby,ok,,ruby,rspec,true,false,321,0,321,1,,,,"",30.06,
