build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
10920281,3f8bb6b35263c846fdc758ee76859276ea85efe7,563,master,failed,1204,2015-05-01 06:08:36 UTC,"[10920282, 10920283]",pull_request
10916706,907cb7a3881d06680d8143f3040647d0eede5150,,master,passed,713,2013-09-03 02:04:16 UTC,"[10916708, 10916707]",push
10893853,745450ac6787aba33e678d9cd109a90a86560b41,562,master,passed,698,2013-09-03 01:18:52 UTC,"[10893855, 10893854]",pull_request
10887451,27ec58b35d160436ae4edcb27228b8429ee6e75d,,master,passed,819,2013-09-02 09:59:51 UTC,"[10887453, 10887452]",push
10863532,6278fbac87059bfa721b794eb75672ac9ad770ba,,master,failed,701,2013-09-01 15:46:50 UTC,"[10863534, 10863533]",push
10846097,f5fbd31c0bafa074bd1b11d7e6a3d34aaa5b6484,,master,passed,664,2013-09-01 01:12:37 UTC,"[10846099, 10846098]",push
10839447,73561a39f37dd06d92d6a1e2830ccf1910a14ac7,560,master,failed,656,2013-08-31 19:26:01 UTC,"[10839449, 10839448]",pull_request
10839437,0fbda83cfe8e760f976e13267603077532daf5ba,560,master,errored,686,2013-08-31 19:24:41 UTC,"[10839438, 10839439]",pull_request
10835892,3b28254b43d9ab0ad0674908ede7ba732f29a39e,,master,passed,737,2013-08-31 16:12:40 UTC,"[10835893, 10835894]",push
10786196,98e3e24dc4c1c8f7720c30e9baec1ec541ca2180,558,master,passed,857,2013-08-30 06:01:25 UTC,"[10786197, 10786198]",pull_request
10756512,c27e0bf93dd756ff4eb60aa801988b37a805f2b3,,master,passed,802,2013-08-29 14:24:37 UTC,"[10756513, 10756514]",push
10745348,ca9c2e3aa7712703486443a6408eeedf780f43f1,555,master,failed,674,2013-08-29 08:45:43 UTC,"[10745349, 10745350]",pull_request
10745273,097d7bff8696760513600cc0cc74b5ebb851165b,,saberma-bug/553-duplicated-email,failed,654,2013-08-29 08:43:06 UTC,"[10745275, 10745274]",push
10745008,c2b17984f1ba7f2d5ce54dc9e8b0d7e971844abd,,master,failed,769,2013-08-29 08:29:36 UTC,"[10745009, 10745010]",push
10744757,aadf64d19568991ca32ebe73f978cc686dea4a24,554,master,passed,751,2013-08-29 08:19:59 UTC,"[10744758, 10744759]",pull_request
10744752,bce69950462f932876b05b6342e0ad218fd3e089,,saberma-enhancement/545-asyn-load-baidu-map,passed,800,2013-08-29 08:19:21 UTC,"[10744754, 10744753]",push
10742171,485646bd40a0142219e9f4f34e531a2e82c45536,,master,failed,760,2013-08-29 06:11:39 UTC,"[10742173, 10742172]",push
10742026,18496cda873b7b7b98c349917e7061c48bef6042,,master,passed,764,2013-08-29 06:04:26 UTC,"[10742027, 10742028]",push
10741842,9a2de3ace3eca77ebe2bdf8eb5800db5c7a3dcd0,552,master,passed,699,2013-08-29 05:57:20 UTC,"[10741843, 10741844]",pull_request
10741814,2316ef82ba23d99fe384a65da5c45ad2bb6bda64,,saberma-feature/551-send-participant-checkin-code-email,errored,342,2013-08-29 06:05:46 UTC,"[10741815, 10741816]",push
10741050,119c0850a02fe992b943b64bb9e5c0bbb25688c1,,master,errored,665,2013-08-29 05:22:38 UTC,"[10741052, 10741051]",push
10739449,d0f5f61aafb98092179b024e336784937168a3ba,550,master,passed,680,2013-08-29 03:56:21 UTC,"[10739451, 10739450]",pull_request
10739394,e49acc12e2c99f55e03314cea930a4e812a186f9,,saberma-enhancement/update-some-letters,failed,675,2013-08-29 03:53:41 UTC,"[10739396, 10739395]",push
10738965,d4be8c62adb97c31a2d0fcf5d3d489030ac2b56d,,master,failed,615,2013-08-29 03:27:23 UTC,"[10738966, 10738967]",push
10738640,9f07a0aeb743ff288033c6dd7231465bf6273f83,549,master,failed,771,2013-08-29 03:17:58 UTC,"[10738643, 10738641]",pull_request
10738546,30d708597cf688333fd962e7d005c1549c41e4e1,,saberma-bug/duplicate-order-pay,errored,521,2013-08-29 03:14:38 UTC,"[10738547, 10738548]",push
10738335,5cddab308bd768fea7d7ea9b378ddc6d622fd262,,saberma-bug/duplicate-order-pay,errored,460,2013-08-29 03:29:42 UTC,"[10738336, 10738337]",push
