tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
6751848,6751849,1000,463d7e8efa420e28a9cda860865b0a62b5b9b549,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",15.1,
6751848,6751850,1000,463d7e8efa420e28a9cda860865b0a62b5b9b549,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",1.37,
6751848,6751851,1000,463d7e8efa420e28a9cda860865b0a62b5b9b549,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",46.83,
6751848,6751852,1000,463d7e8efa420e28a9cda860865b0a62b5b9b549,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",9.24,
6761369,6761370,1001,08e86c73e51735f62b2adbebfef32e9ac2c1417a,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",4.63,
6761369,6761371,1001,08e86c73e51735f62b2adbebfef32e9ac2c1417a,ruby,broken,,ruby,rspec,true,true,691,1,692,2,,,,"",55.51,
6761369,6761372,1001,08e86c73e51735f62b2adbebfef32e9ac2c1417a,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",43.75,
6761369,6761373,1001,08e86c73e51735f62b2adbebfef32e9ac2c1417a,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",48.73,
6817864,6817865,1002,9f3e5fec5258f546ee366b0cb2c7f1680a23c0b0,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",9.07,
6817864,6817866,1002,9f3e5fec5258f546ee366b0cb2c7f1680a23c0b0,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",10.58,
6817864,6817867,1002,9f3e5fec5258f546ee366b0cb2c7f1680a23c0b0,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",45.31,
6817864,6817868,1002,9f3e5fec5258f546ee366b0cb2c7f1680a23c0b0,ruby,ok,,ruby,rspec,true,false,692,0,692,2,,,,"",52.55,
6826283,6826284,1003,e7e5cfaf3e6867dd7e1ecdd76993361f2907749e,ruby,unknown,,ruby,"",true,false,,0,,,,,,"",,
