build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156491975,d70de0868e02b1d3476508bd394df333a2f12650,,master,passed,1791,2016-08-31 11:46:58 UTC,"[156491976, 156491977, 156491979, 156491980, 156491981, 156491983]",push
156481079,7367a214cc0cabbadf418c0bda11c0ebd4883139,1120,master,passed,1499,2016-08-31 11:02:41 UTC,"[156481080, 156481083, 156481085, 156481086, 156481087, 156481088]",pull_request
156480005,b9b09d5aee34ed704a5302bb452bf306fce93221,1120,master,passed,1371,2016-08-31 10:54:02 UTC,"[156480006, 156480007, 156480008, 156480009, 156480010, 156480011]",pull_request
156479683,7580a53291f967420f69c9dccbe60f4cd8517c64,1120,master,passed,1745,2016-08-31 10:45:17 UTC,"[156479684, 156479686, 156479687, 156479688, 156479689, 156479690]",pull_request
156479366,0b19258a5e2180e0cfba7aef607260c972e3a0b0,,master,passed,1677,2016-08-31 10:37:00 UTC,"[156479367, 156479368, 156479369, 156479370, 156479371, 156479372]",push
156476768,aa49e5fadb51ec27845c3b3a1a351bbe2d99e678,1119,master,passed,1715,2016-08-31 10:24:13 UTC,"[156476769, 156476770, 156476771, 156476772, 156476773, 156476774]",pull_request
156459884,f7089c9964ae600be5c6e09f8cb3c5a535ac309c,1084,master,passed,1555,2016-08-31 09:56:04 UTC,"[156459885, 156459886, 156459887, 156459888, 156459889, 156459890]",pull_request
156458894,6267c885fd167ca25c94edddfc18299017344e6e,,master,passed,1753,2016-08-31 09:43:20 UTC,"[156458895, 156458896, 156458897, 156458898, 156458899, 156458900]",push
156456563,095c31cbf933cde89eb42af091b5ce28b4c87400,,3.4-stable,passed,2009,2016-08-31 09:26:34 UTC,"[156456564, 156456565, 156456566, 156456567, 156456568, 156456569]",push
156452988,e01b06c2a581f2419ffc71d8eac581b157d748c8,,master,passed,1658,2016-08-31 09:11:40 UTC,"[156452989, 156452990, 156452991, 156452992, 156452993, 156452994]",push
156452134,5dec354ff05b5c164d2c5095ed76a63b89c142a8,,3.3-stable,passed,1721,2016-08-31 08:55:59 UTC,"[156452135, 156452136, 156452137, 156452138, 156452139, 156452140]",push
156451667,2c9c1fa255fe95528de7493f10492b2e6c06348b,,3.4-stable,passed,1829,2016-08-31 08:39:14 UTC,"[156451668, 156451669, 156451672, 156451674, 156451676, 156451678]",push
156450547,cf800c38979244ad4605f922f251ffa51e5379b4,,3.3-stable,passed,1479,2016-08-31 08:29:02 UTC,"[156450548, 156450549, 156450550, 156450551, 156450552, 156450553]",push
156445568,024efbea1eaad2c43b3aaa46bbd5a6ec4902e951,1118,master,passed,1447,2016-08-31 08:05:00 UTC,"[156445569, 156445572, 156445575, 156445576, 156445577, 156445580]",pull_request
156445236,cb9e5df1c298104bfbf630a07f32b4eafd280193,1118,master,passed,1439,2016-08-31 07:56:58 UTC,"[156445237, 156445241, 156445242, 156445243, 156445246, 156445247]",pull_request
156336347,137c986090f3ec4c1d01f095b6a82d51ba0528f7,,master,passed,1444,2016-08-30 20:18:45 UTC,"[156336348, 156336350, 156336351, 156336352, 156336353, 156336354]",push
156279774,d57da283a001e62ba2d9858cf20cf0f77a146b1c,1117,master,passed,1477,2016-08-30 20:08:42 UTC,"[156279775, 156279776, 156279777, 156279778, 156279779, 156279780]",pull_request
155369681,5559470fff93041e9b277dee4d4c803368177609,,master,passed,1537,2016-08-26 15:14:03 UTC,"[155369682, 155369683, 155369684, 155369685, 155369686, 155369687]",push
155305918,fe3cd706ffadc2198251ca6741521d541094d5a7,1116,master,passed,1535,2016-08-26 10:49:24 UTC,"[155305919, 155305920, 155305921, 155305922, 155305923, 155305924]",pull_request
155299175,c336dfbfd487e1a773544940b34092b92169bbc5,,3.3-stable,passed,1524,2016-08-26 10:16:59 UTC,"[155299176, 155299177, 155299178, 155299179, 155299182, 155299187]",push
155269289,2eb9b1b3c65d6c2997338b5f3673a27d8c389f81,1115,3.3-stable,passed,1860,2016-08-26 07:56:05 UTC,"[155269290, 155269291, 155269292, 155269293, 155269294, 155269295]",pull_request
155186813,91578c0617d4adf08286f0b3862d1a49ec705863,,master,passed,1421,2016-08-25 22:05:17 UTC,"[155186814, 155186815, 155186817, 155186818, 155186820, 155186821]",push
155176568,54494bec3e2f340916985e66753f008c90fc3b58,1110,master,passed,1393,2016-08-25 21:57:19 UTC,"[155176569, 155176571, 155176573, 155176575, 155176576, 155176577]",pull_request
155173676,0a33505dab3188d511b9203ffa88d50f5fb2b2b7,1110,master,passed,1443,2016-08-25 21:08:45 UTC,"[155173677, 155173678, 155173679, 155173680, 155173681, 155173682]",pull_request
155115867,b8eb5d619da965fe1ca9bd716afe485433f7d2e5,,3.4-stable,passed,2031,2016-08-25 17:22:56 UTC,"[155115868, 155115869, 155115870, 155115871, 155115872, 155115873]",push
155115738,c9f30ab12abc04c0f5689108dd906c1c5269f20f,,master,failed,1746,2016-08-25 17:13:35 UTC,"[155115739, 155115740, 155115741, 155115742, 155115743, 155115744]",push
155057989,afcc82e226bd1e01efc5451cb0c7dbcc283c2153,1113,3.4-stable,passed,1661,2016-08-25 13:56:18 UTC,"[155057990, 155057991, 155057992, 155057993, 155057994, 155057995]",pull_request
155057899,4da353a817afce479b6e462f4eb9c75a630a95f1,1112,master,passed,1444,2016-08-25 13:45:33 UTC,"[155057900, 155057901, 155057902, 155057903, 155057904, 155057905]",pull_request
154457949,b0f6950edb1fe69a755994e4e4641241e6682200,1095,master,passed,1773,2016-08-23 15:37:52 UTC,"[154457951, 154457952, 154457956, 154457959, 154457960, 154457961]",pull_request
