build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
155796439,ca5b08539b79736cc732a11b70382a0e19c7db7a,,atmosphere-2.4.x,passed,462,2016-08-28 21:18:50 UTC,"[155796440, 155796441]",push
155795825,c74a27c6525e17c4e044d6c2f2fb1267280d1b6e,,master,passed,437,2016-08-28 21:14:53 UTC,[155795826],push
155793276,27c0650fad92af6b792875fd5c92bcdd9ddde987,,master,passed,252,2016-08-28 20:58:29 UTC,[155793277],push
155788059,5745b73bbe917de53c2287a4179b75ad2be3aa42,,master,passed,281,2016-08-28 20:20:58 UTC,[155788060],push
155781350,c8982260d5c0e56f93ffd30a7375055aa72ae4ed,,atmosphere-2.4.x,passed,490,2016-08-28 19:33:10 UTC,"[155781351, 155781352]",push
155781260,5adda55894260718416e8c75e5f5eeca98e75b19,,master,passed,270,2016-08-28 19:32:32 UTC,[155781261],push
155753829,abd72f9fdd4e8b2ea5d0bb7dddee9c9f0f9cc09b,2208,master,passed,287,2016-08-28 16:16:34 UTC,[155753830],pull_request
155646865,1e8683a21766378f48ddf3a23fe8a99f376318ec,,atmosphere-2.4.x,passed,435,2016-08-27 22:02:42 UTC,"[155646866, 155646867]",push
155644847,282735cc9338c9efe6408b302ee25edf5216dfb3,,master,passed,245,2016-08-27 21:48:12 UTC,[155644848],push
154135595,cd813ef1a641f621410ff47795d9d954694b4e65,,master,passed,264,2016-08-22 12:33:49 UTC,[154135596],push
152606033,a2a5e600c69924f859ccdf7df13a6d0cf1d6e6b9,2203,master,passed,317,2016-08-16 08:00:18 UTC,[152606034],pull_request
152341004,6ac3c38ec04e19c98399db98e7a147180177af89,2202,master,passed,321,2016-08-15 09:02:59 UTC,[152341005],pull_request
151497175,133b7669f760f63d022abdc0a40881e95dd35c90,,master,passed,280,2016-08-11 12:47:03 UTC,[151497176],push
149897916,c7208ceb6c8ca9c22f7b0a2fac84e9bb110b6db6,,atmosphere-2.4.x,passed,447,2016-08-04 22:51:03 UTC,"[149897917, 149897918]",push
149897391,7842405c0e85d7e42f371316b6813921f0c044b4,,master,passed,309,2016-08-04 22:49:27 UTC,[149897392],push
147690902,8d7c8c1b8ba64c41b59a0f2f712710465e347966,,master,passed,315,2016-07-27 08:02:55 UTC,[147690903],push
147689761,a3a5577119ee2996dd91a0f8039b39efeb519119,,atmosphere-2.3.x,passed,579,2016-07-27 07:55:07 UTC,"[147689762, 147689763]",push
147689638,70ceda9740cbc5504d5ebaf2191dd706925760c8,,master,passed,341,2016-07-27 07:54:08 UTC,[147689639],push
147689047,283f0f5d548d85a5ea7b19c993460aef37150bcd,,atmosphere-2.4.x,passed,554,2016-07-27 07:50:27 UTC,"[147689048, 147689049]",push
147550286,eaebd38919d5f29cd428c5044220dfbbc76b7c6f,2194,atmosphere-2.4.x,passed,437,2016-07-26 18:20:40 UTC,"[147550287, 147550288]",pull_request
147550210,3034ff2bb9da597df63f57c5dfc1f10cd3913f08,2193,master,passed,299,2016-07-26 18:20:49 UTC,[147550211],pull_request
146324350,de103459a6ac4daace25c7b8efe5a48e0cd99123,2189,master,failed,333,2016-07-21 09:17:18 UTC,[146324351],pull_request
145756736,94b7fd196e9369d37d0647056de2e3377e426720,2189,master,passed,269,2016-07-19 08:06:13 UTC,[145756737],pull_request
142194044,0d7dbd3f76568a2a580a7686261e1a4f0cf2c4e8,,atmosphere-2.4.x,passed,506,2016-07-04 12:16:35 UTC,"[142194045, 142194046]",push
142193935,ee76d0103577400cb0a40da5c1ebffddfe972e5f,,master,passed,337,2016-07-04 12:16:02 UTC,[142193936],push
142098141,f2bf8bc53e1a1199edf8d41b9913b6d87b6ef1a8,,master,passed,260,2016-07-04 00:56:30 UTC,[142098142],push
141691261,973f82e8ef293e4eee2e04428b8fab5723422257,,master,passed,310,2016-07-01 18:20:58 UTC,[141691263],push
141681603,5c9292dbb3892083c0dc69a966b9716e8dc13835,,atmosphere-2.4.x,errored,335,2016-07-01 17:42:16 UTC,"[141681604, 141681605]",push
141681587,daf3032f7ed4ac51ac2e1ca2fad384099ee485d3,,atmosphere-project-2.4.5,passed,432,2016-07-01 17:42:15 UTC,"[141681588, 141681591]",push
