tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
17510366,17510367,100,2c87360b70de8ca8aaeb11894f1f10bbb33078d8,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
17510366,17510368,100,2c87360b70de8ca8aaeb11894f1f10bbb33078d8,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17552008,17552009,101,17572dc357f05b0c75635d7dcbc7032690e06159,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17552008,17552010,101,17572dc357f05b0c75635d7dcbc7032690e06159,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17552013,17552014,102,95871fcbe0cbe7aa748546fd01da0ca47748f5f1,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17552013,17552015,102,95871fcbe0cbe7aa748546fd01da0ca47748f5f1,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17553204,17553205,103,aaa23ae3dfe92339a1bc24c8a47a18d2f18b7633,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17553204,17553206,103,aaa23ae3dfe92339a1bc24c8a47a18d2f18b7633,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17553207,17553208,104,265d7a6b4acd846d5b8eac4cf04f3eb55310a27b,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17553207,17553209,104,265d7a6b4acd846d5b8eac4cf04f3eb55310a27b,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555279,17555280,105,b682ca0545b977dda84efa2e5855f25eb1ae5670,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555279,17555281,105,b682ca0545b977dda84efa2e5855f25eb1ae5670,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555295,17555296,106,179a78204b7c7aaa23bc1410d5340a41b42162f6,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555295,17555297,106,179a78204b7c7aaa23bc1410d5340a41b42162f6,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555547,17555548,107,9ce841a468ecb377f601587cda60bbe16b2991d8,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555547,17555549,107,9ce841a468ecb377f601587cda60bbe16b2991d8,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555865,17555866,108,8e99134916918be3618cb83b26d3bacf1b921f43,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17555865,17555867,108,8e99134916918be3618cb83b26d3bacf1b921f43,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17558466,17558467,109,c4c5e15174444515398b0ceb7a2f03b8245dc274,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17558466,17558468,109,c4c5e15174444515398b0ceb7a2f03b8245dc274,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
15792032,15792033,10,32bf4a9650339e9b13361e861258c1e03bd67806,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
15792032,15792034,10,32bf4a9650339e9b13361e861258c1e03bd67806,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
15792032,15792035,10,32bf4a9650339e9b13361e861258c1e03bd67806,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17558525,17558526,110,37c1cfe7bb176bf46e12b7e5801f07b0c133889c,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17558525,17558527,110,37c1cfe7bb176bf46e12b7e5801f07b0c133889c,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17558840,17558842,111,72f68d2db0670b17b5861709ec2f7575c16a645d,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17558840,17558844,111,72f68d2db0670b17b5861709ec2f7575c16a645d,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664110,17664111,112,8e99134916918be3618cb83b26d3bacf1b921f43,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664110,17664112,112,8e99134916918be3618cb83b26d3bacf1b921f43,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664191,17664192,113,bbba0545073a26145f24ffd829c16eea1d909ee4,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664191,17664193,113,bbba0545073a26145f24ffd829c16eea1d909ee4,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664372,17664373,114,5ede39a1acc1e6aa2770dd2ee5f54a7c96a9ce8a,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664372,17664374,114,5ede39a1acc1e6aa2770dd2ee5f54a7c96a9ce8a,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664862,17664863,115,4efe0c967a54c9cd5d223442b82af9aaedade0b2,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664862,17664864,115,4efe0c967a54c9cd5d223442b82af9aaedade0b2,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664865,17664866,116,f87d27b8a90e2d16f3057971d85d0a5c99cff1f9,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17664865,17664867,116,f87d27b8a90e2d16f3057971d85d0a5c99cff1f9,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17667960,17667961,117,22217dcfa86709e5ed706a6012e2b3c5220cb812,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17667960,17667962,117,22217dcfa86709e5ed706a6012e2b3c5220cb812,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17705791,17705792,118,a10e7fb2ad7e18f96f0c9b900517aa2b0e3b4789,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17705791,17705793,118,a10e7fb2ad7e18f96f0c9b900517aa2b0e3b4789,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17710463,17710464,119,76f0d8da0c0cba40b1af7aa8b36b5f730fe0d9bb,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
17710463,17710465,119,76f0d8da0c0cba40b1af7aa8b36b5f730fe0d9bb,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
15792231,15792232,11,963d3e2097056a659f0390c173dca110c1c10e40,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
15792231,15792233,11,963d3e2097056a659f0390c173dca110c1c10e40,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
15792231,15792234,11,963d3e2097056a659f0390c173dca110c1c10e40,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17710527,17710528,120,a65d48d2a2d1405e989903f85d303940d2a278ad,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17710527,17710529,120,a65d48d2a2d1405e989903f85d303940d2a278ad,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17761110,17761111,121,de9f5919582181cd96d9658755ec29039171e6e2,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
17761110,17761112,121,de9f5919582181cd96d9658755ec29039171e6e2,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
17799013,17799014,122,34176bff49dee4456512efb3fe19da39be1132ce,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17799013,17799015,122,34176bff49dee4456512efb3fe19da39be1132ce,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17799419,17799420,123,22217dcfa86709e5ed706a6012e2b3c5220cb812,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17799419,17799421,123,22217dcfa86709e5ed706a6012e2b3c5220cb812,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17872702,17872703,124,59109ae2bd3b4f781627445028616336e53f2bda,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17872702,17872704,124,59109ae2bd3b4f781627445028616336e53f2bda,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17915393,17915394,125,10a88f7750fbe1a65e2e39f4cee557806e2bfc35,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
17915393,17915395,125,10a88f7750fbe1a65e2e39f4cee557806e2bfc35,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18037466,18037467,126,ab2c819290c2c4458345949a2d38ec13b229f3fd,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18037466,18037468,126,ab2c819290c2c4458345949a2d38ec13b229f3fd,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18339625,18339626,127,8d33da8ea9a975f633f0ea35ce383495401cf86c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
18339625,18339627,127,8d33da8ea9a975f633f0ea35ce383495401cf86c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
18339782,18339783,128,3a0fb91c2853cd2df1e4c987ce8601dd3038711c,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
18339782,18339784,128,3a0fb91c2853cd2df1e4c987ce8601dd3038711c,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
18339920,18339921,129,1db392e95fb0f8ceda63fc282476cf671c89a0f4,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
18339920,18339922,129,1db392e95fb0f8ceda63fc282476cf671c89a0f4,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
15792235,15792236,12,3a9c415893d26c67f3e75b07dc6a0ae710cdffe6,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
15792235,15792237,12,3a9c415893d26c67f3e75b07dc6a0ae710cdffe6,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
15792235,15792238,12,3a9c415893d26c67f3e75b07dc6a0ae710cdffe6,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18339923,18339924,130,64e5896eb20f38c7c6be53d771a3b9be6a83594b,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
18339923,18339925,130,64e5896eb20f38c7c6be53d771a3b9be6a83594b,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
18340722,18340723,131,b0ed6dc79d37bb4c2aa310b5a562735e4e71cbb6,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18340722,18340724,131,b0ed6dc79d37bb4c2aa310b5a562735e4e71cbb6,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18340728,18340729,132,9f0014c6ac4530fe25df2a0a066416b32657cc30,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18340728,18340730,132,9f0014c6ac4530fe25df2a0a066416b32657cc30,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18357244,18357245,133,71d3d7e2744149b354f649e6e6a78faaa223e532,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
18357244,18357246,133,71d3d7e2744149b354f649e6e6a78faaa223e532,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
