build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
149795786,2f237193d16cc6a987516cd35144af8b6644eef5,,v3.2.1,passed,217,2016-08-04 15:43:03 UTC,"[149795787, 149795788]",push
149795612,2f237193d16cc6a987516cd35144af8b6644eef5,,master,passed,245,2016-08-04 15:41:57 UTC,"[149795613, 149795614]",push
149794976,a65850023d6bcd3e869e0d2a6337cc00edad25e1,,master,passed,229,2016-08-04 15:39:59 UTC,"[149794977, 149794978]",push
144385790,398b6c44b7bd0cdd5dd94d33c1e18c17c16b4570,447,master,passed,220,2016-07-13 08:03:28 UTC,"[144385791, 144385792]",pull_request
132127297,b77d4d08474fe3bdd72497d3e63d1d3be2bcca7d,439,master,passed,278,2016-05-22 20:14:56 UTC,"[132127298, 132127299]",pull_request
132127294,a9e7a930cfda07dd057ce0f58fd71f316545074b,,refactor,passed,225,2016-05-22 20:14:55 UTC,"[132127295, 132127296]",push
132126572,60b2099b2017ded1a640a2f3a844009b64f8efe5,439,master,passed,266,2016-05-22 20:09:18 UTC,"[132126573, 132126574]",pull_request
132126565,8759fb9e80cda5f3c394986bf9ce613f7f643d09,,refactor,passed,218,2016-05-22 20:09:17 UTC,"[132126566, 132126567]",push
132124357,bc529525252f8f7a18fe4e5e211190a145ed351d,439,master,passed,246,2016-05-22 19:55:10 UTC,"[132124358, 132124359]",pull_request
132124354,25637d3d126b74b251378887fdda33526d8cf6b7,,refactor,passed,286,2016-05-22 19:55:10 UTC,"[132124355, 132124356]",push
132122824,bd651101c2901b154618e77779c1f88b7e90d9a0,439,master,passed,229,2016-05-22 19:44:11 UTC,"[132122825, 132122826]",pull_request
132122819,ed330479f3999a6379016fa467f6cfeb85f9b64d,,refactor,passed,349,2016-05-22 19:44:07 UTC,"[132122820, 132122821]",push
132119657,c2dde6fd8c958fe2d331efaee80d058020e4d97f,439,master,passed,246,2016-05-22 19:20:49 UTC,"[132119658, 132119659]",pull_request
132115750,fc23aafeb563d4d7851c8793382dfaf56a961df9,,refactor,passed,209,2016-05-22 18:50:40 UTC,"[132115751, 132115754]",push
132115228,cd9a91c9a9cdf5f561a37ade6c64fabf9c3c3572,,refactor,passed,198,2016-05-22 18:46:44 UTC,"[132115229, 132115230]",push
131895525,5da31dc7b7a858458d1d59fc1bc8eb896da78c97,,master,passed,186,2016-05-21 10:31:05 UTC,"[131895526, 131895527]",push
131730051,3e9317376841a3899174f629d9238f235898d4c0,438,master,passed,205,2016-05-20 15:31:19 UTC,"[131730052, 131730053]",pull_request
130615649,2d3e7f117890c211945b8f374a7f2823cbc6c9c9,,master,passed,220,2016-05-16 16:54:15 UTC,"[130615650, 130615651]",push
130611273,d4833b7bdbd13068009d4582cc7c48a866c9cd8d,,v3.1.9,errored,46,2016-05-16 16:36:16 UTC,"[130611274, 130611275]",push
130611270,ff306ffad62a8c031296620a5a006b13a9005b5d,,v3.2.0,passed,214,2016-05-16 16:36:16 UTC,"[130611271, 130611272]",push
130611191,ff306ffad62a8c031296620a5a006b13a9005b5d,,master,passed,197,2016-05-16 16:35:35 UTC,"[130611192, 130611193]",push
130610863,d5b2f6c913c5ce78e65fb94374162c42d6159d0f,,master,passed,197,2016-05-16 16:34:11 UTC,"[130610864, 130610865]",push
130610270,69d9cb0cff727e60af71d89135b81218ea0bc729,435,master,passed,211,2016-05-16 16:31:27 UTC,"[130610271, 130610272]",pull_request
130610258,e88224505274e6aeb40176192675cb81eb846679,,fix_build,passed,211,2016-05-16 16:31:28 UTC,"[130610259, 130610260]",push
130609700,d4833b7bdbd13068009d4582cc7c48a866c9cd8d,,v3.1.9,failed,212,2016-05-16 16:28:52 UTC,"[130609702, 130609703]",push
130609584,d4833b7bdbd13068009d4582cc7c48a866c9cd8d,,master,failed,284,2016-05-16 16:28:35 UTC,"[130609585, 130609586]",push
130598687,be3632c45c1c07c449feb9db11f5a240ac632ac5,,v3.1.8,passed,214,2016-05-16 15:44:49 UTC,"[130598688, 130598690]",push
130598438,be3632c45c1c07c449feb9db11f5a240ac632ac5,,master,passed,223,2016-05-16 15:43:48 UTC,"[130598440, 130598442]",push
130598178,25ae7add5106f79a113bf1848d2cd777c5999bf5,434,master,passed,226,2016-05-16 15:42:45 UTC,"[130598179, 130598180]",pull_request
130598168,751fc02f1bddb871715a8b6dfb647811beb612e8,,improvements,passed,271,2016-05-16 15:42:43 UTC,"[130598169, 130598170]",push
130576491,9ba5e1dd7ce1ec3ccde6617c23b125a9d2152f5c,,improvements,passed,315,2016-05-16 14:16:23 UTC,"[130576492, 130576493]",push
130576484,ddcb2d416690dbb3c881fb840a298c8492a8d100,434,master,passed,244,2016-05-16 14:16:23 UTC,"[130576485, 130576486]",pull_request
130564351,18b8db3349e4acd28671af9193f2e0eac78bbe37,434,master,passed,217,2016-05-16 13:24:17 UTC,"[130564352, 130564353]",pull_request
130564343,b6ea4bd8ca7a4c655a8e94ba1c1d2ef362e89787,,improvements,passed,227,2016-05-16 13:22:55 UTC,"[130564344, 130564345]",push
130564229,6a8cdbbcda558587e89d8a263688a9c629c9056c,434,master,passed,298,2016-05-16 13:22:18 UTC,"[130564230, 130564231]",pull_request
130564224,0aa80851210f83279622156c44ed04a0f02cccf4,,improvements,passed,213,2016-05-16 13:22:17 UTC,"[130564225, 130564226]",push
130563684,bbcbe6bc93f58a6b84f7fe6f11a653b8fa6a7067,434,master,passed,214,2016-05-16 13:19:17 UTC,"[130563685, 130563686]",pull_request
130563679,342bc04bfe37c7c76d605b302487168efefd3b05,,improvements,passed,232,2016-05-16 13:19:10 UTC,"[130563680, 130563681]",push
130560792,15f7ece7bc20ff92bac2435ade002bb41cd2fb97,,improvements,passed,246,2016-05-16 13:03:25 UTC,"[130560793, 130560794]",push
130557327,b5783062dcf50ee4bc1deb34d0bbecd083d36359,,master,passed,261,2016-05-16 12:45:20 UTC,"[130557328, 130557329]",push
130557277,0a3c1ede44de2c2203ef7790a4a40bdec0b962aa,,v3.1.7,passed,433,2016-05-16 12:45:01 UTC,"[130557278, 130557279]",push
130557145,9f92a0e793fc8166163965d791dcad74dc76e408,429,master,errored,47,2016-05-16 12:44:17 UTC,"[130557146, 130557147]",pull_request
130557127,0a3c1ede44de2c2203ef7790a4a40bdec0b962aa,,issue405,passed,231,2016-05-16 12:42:45 UTC,"[130557128, 130557129]",push
130557006,395c3e70e1a0096af0d9f3d33026bfd8f10d20ee,,issue405,passed,333,2016-05-16 12:42:18 UTC,"[130557007, 130557008]",push
130556760,d5d9462d607d58e974f0e12971e9c4b4aac63e16,,issue405,errored,322,2016-05-16 12:41:04 UTC,"[130556761, 130556762]",push
130556626,f53f1fa573429ba368d2959bfa3dffcf2ee70e09,429,master,passed,229,2016-05-16 12:40:11 UTC,"[130556627, 130556628]",pull_request
130556615,25757a1729a8afc8883988bf9d1bd032bd98fbb9,,issue405,passed,228,2016-05-16 12:40:10 UTC,"[130556616, 130556617]",push
130555670,e72b7a3d2316a492eb00779ff5ac40b7ebd53ed7,,master,passed,238,2016-05-16 12:34:43 UTC,"[130555671, 130555672]",push
126181329,130bbd28ed5e7becfa4f137e85806208c383fdc6,431,master,passed,252,2016-04-27 18:20:28 UTC,"[126181331, 126181334]",pull_request
125626953,fe519eb840f3a00b5bc2b8729f9d89dc705843ff,,v3.1.6,passed,221,2016-04-25 17:33:10 UTC,"[125626954, 125626955]",push
125626854,fe519eb840f3a00b5bc2b8729f9d89dc705843ff,,master,passed,208,2016-04-25 17:32:45 UTC,"[125626855, 125626856]",push
125626413,252eb23d20638f4a6cf91497a9a3f6a744f0fef3,,master,passed,216,2016-04-25 17:30:45 UTC,"[125626414, 125626415]",push
125623903,992de56f4a32584d14c8ed06e59268ea1616c8ca,,v3.1.5,passed,247,2016-04-25 17:20:58 UTC,"[125623904, 125623905]",push
125623800,992de56f4a32584d14c8ed06e59268ea1616c8ca,,master,passed,212,2016-04-25 17:20:39 UTC,"[125623801, 125623802]",push
125623218,b0995771b89df654d8a7bf952d051df49c97f5b9,,master,passed,235,2016-04-25 17:18:04 UTC,"[125623219, 125623220]",push
125043229,1a077b5373e5558d9d60cebe83eb0207dc64af82,429,master,passed,231,2016-04-22 15:02:44 UTC,"[125043230, 125043231]",pull_request
125043158,e4dfba03a2900b6193763a6d57c0023eb0e8f5b2,,issue405,passed,222,2016-04-22 15:02:26 UTC,"[125043159, 125043160]",push
124987403,c998e9b16ba2254ba252ed92dc64f6834c587dd5,,master,passed,217,2016-04-22 10:36:04 UTC,"[124987404, 124987405]",push
124073589,0574ec5fce530f81d023ffe9e330ee61beb9ec81,425,master,passed,203,2016-04-19 01:31:53 UTC,"[124073590, 124073591]",pull_request
123668066,fcd71d2d2123822a41af10491ae566786f8d1123,424,master,passed,215,2016-04-17 07:23:25 UTC,"[123668067, 123668068]",pull_request
123667855,b2388a9371b239d33a49fd6d31e6c8249a7df926,424,master,passed,259,2016-04-17 07:20:21 UTC,"[123667856, 123667857]",pull_request
123666681,89bb70579c18f903d60c30bc0ecaccd1fcaab100,424,master,failed,210,2016-04-17 06:59:52 UTC,"[123666683, 123666685]",pull_request
121714690,1b31e4bf6b95b2a08cb4d09b2aaf816eb7ab6833,,v3.1.4,passed,271,2016-04-08 14:28:55 UTC,"[121714691, 121714692]",push
121714526,1b31e4bf6b95b2a08cb4d09b2aaf816eb7ab6833,,master,passed,240,2016-04-08 14:28:30 UTC,"[121714527, 121714528]",push
121714002,bf5888c1697a36c5f2e7604c9a81dfe4193d2872,,master,passed,290,2016-04-08 14:26:29 UTC,"[121714003, 121714004]",push
121713793,6d0320cc70ed5132d6f53d2689c4f99ce249c913,,master,errored,152,2016-04-08 14:25:47 UTC,"[121713794, 121713795]",push
121713212,1c87a639619f872b4befd3bc124a56116052ff70,,v3.1.3,passed,251,2016-04-08 14:23:30 UTC,"[121713213, 121713214]",push
121713127,1c87a639619f872b4befd3bc124a56116052ff70,,master,passed,252,2016-04-08 14:23:18 UTC,"[121713128, 121713129]",push
120787317,feacfea6ad909050a497dd97d5764c30c6910d00,412,master,passed,239,2016-04-05 01:44:35 UTC,"[120787318, 120787319]",pull_request
119971112,2f7d37f73f624f6403517d90d89137d7e17bbc87,411,master,passed,200,2016-04-01 02:07:19 UTC,"[119971113, 119971114]",pull_request
