tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
39683055,39683056,1000,036efb7010292d16f19cd0bb55c8815f61ac1fe5,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39689405,39689406,1001,609c752790ef9f44a81b13f55b4e24a91143eb9a,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39697788,39697789,1002,bf25fdfbf68cab1a83ac946da03b2737e530ecce,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39713526,39713528,1003,d0506b8a4948d638e211d5dd6a5d60e1d9ba68ef,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
39732841,39732842,1004,98c5d7108788948f925311a9253f9f8febe7416d,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39733530,39733531,1005,ad25b17c6e07b8eb0823575ca47ea704d8cf546e,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39733736,39733737,1006,388871fed4f56aa99e1f35212a70ad9a64066266,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39734351,39734352,1007,6813d9882f597672c79ac5ac9eb0f1b33dbd3422,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
39734521,39734522,1008,2c360318b3bbd6e80b1ce6fba69137ff427e489b,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
39734538,39734539,1009,2c360318b3bbd6e80b1ce6fba69137ff427e489b,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
24587635,24587636,100,f3330e121cb695c61e62c93942800425c85bae12,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
39734549,39734550,1010,2c360318b3bbd6e80b1ce6fba69137ff427e489b,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
39734596,39734597,1011,ffb659bc7c0a5529393901c8bac03be869c32390,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
39734598,39734599,1012,ffb659bc7c0a5529393901c8bac03be869c32390,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
39735137,39735138,1013,4ea4bb9eae061db2a7e2c5c410807e7c69479375,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
39768724,39768725,1014,50a36b3aa90087e9d9ed45f951106516d95a1e5a,java,unknown,0,java-gradle,"",false,,,0,,,,,,"",,
39841321,39841322,1015,50a36b3aa90087e9d9ed45f951106516d95a1e5a,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
39848464,39848465,1016,af20777ce7408d737f717ee083c65fb5d7eeeae6,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
39923747,39923748,1017,1e6909d2a40936ed44d3583aea9ff40b4ae9ddab,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
39927210,39927212,1018,60751209c99fca0a8fab677df7a7d6ecb001c5db,java,ok,0,java-gradle,junit,true,false,,0,,,,,,"",,
39933081,39933083,1019,8daf2f695ac52152b8e896fa581a14c5a9e6ba9b,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
24595045,24595046,101,888984c75caada8281f13a34eb78a45ff0f9f689,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
40186546,40186547,1020,2507218e00d5296041b712aaeeaf40c92f7981ba,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40191357,40191358,1021,b36d32f11a21cabcc8fbbd145fb8a1560c406799,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40193483,40193484,1022,87d33a710db9d449e0573354bc95042ef35e2be0,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40200102,40200103,1023,f69237e21129a4339895020e91b2bc237958a551,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40200655,40200656,1024,10c8498f7b00fe42cbcc4579d322ef2ab567c98c,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40211718,40211719,1025,10c8498f7b00fe42cbcc4579d322ef2ab567c98c,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40267529,40267531,1026,8f709f680fee560138325ca6e9d25131fdd7649a,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
40267808,40267809,1027,8e561241f58b625587901fd8b46ed78f9a1c9a24,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40318370,40318371,1028,a3064c12cd559c2a677ae72b19cf254d51f35473,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40319987,40319988,1029,928cc436ddf8e6949f1cf8b60b56027614569fe9,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
24598080,24598081,102,2f4407357282f67bc4805110844533ef4d6635b1,java,broken,,java-gradle,junit,true,false,,0,,,,,,"",,
40320274,40320275,1030,b0119f6d5182d9d13bb969bfa8538c3b11b412c6,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40320382,40320383,1031,b0119f6d5182d9d13bb969bfa8538c3b11b412c6,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40321078,40321079,1032,0fc902c3b7d7e2474744d099e0f5cad3cc0813b6,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40321103,40321104,1033,0fc902c3b7d7e2474744d099e0f5cad3cc0813b6,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40321139,40321140,1034,0fc902c3b7d7e2474744d099e0f5cad3cc0813b6,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40346369,40346370,1035,efdbeb31aaea760e1948ff9df3faca3f1d304284,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40371775,40371776,1036,2c04e14389b034e3181e3ecb629ba0ddef44c491,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40372002,40372003,1037,19b3f81c91b27b75706e7941d41239751d724272,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40376129,40376130,1038,b78bf28ead405d68a6de471d980ccdbfca1fe3f9,java,broken,0,java-gradle,"",false,,,0,,,,,,"",,
40376776,40376777,1039,9e2795d235a49d1081db2cc1ad3185a95c9cdc91,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
24598245,24598246,103,48b927f08887ee4f1002cb712219a112c39d6ee9,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40444898,40444899,1040,af14349785745a1e18376d430eb5d72984245e43,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40444977,40444978,1041,bc65d952488d4c47c45664b08c6eff2c04a866a3,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40445987,40445988,1042,59bc3c4be127d7ddd65360049d7b76d8c4f8755d,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40446732,40446733,1043,86e2fde283994fdcadb7ac2f8adc77ead7fe3ec6,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40453381,40453382,1044,e0c6a026c2e0ead66b47dd59d5596436dc9c3fc5,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40454374,40454375,1045,90a515c8372ad3f5a985a46d58e1b02d260e6fe2,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40456385,40456386,1046,a85f7fcadece39038eb6df5d4e64d0707f2551b6,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
40456396,40456397,1047,f8d36e93666366b844487b15a28079dd0999a5fc,java,broken,0,java-gradle,"",false,,,0,,,,,,"",,
40463663,40463664,1048,68512ed479f0b421ce545cef49391c2b51dbfb71,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40463729,40463731,1049,8535f295d9ef4136fa05f7d3bf6ca3066b6269de,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
24602360,24602361,104,510af9b5d94d232256acea6154e76e60869e90b0,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40463736,40463737,1050,d844eafad21b67d82fbd79c456c2bc1b200fea99,java,broken,0,java-gradle,"",false,,,0,,,,,,"",,
40562490,40562492,1051,cf7378135633476ae6f4d6004fb1739fd0f3be56,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40563656,40563657,1052,93c28597b4eb8156decf5f249565159a497687fa,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40563997,40563998,1053,df7b082c2563cf30bbb5c5478426a5b1ead88202,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40572747,40572753,1054,742c20cc4541505e198d64aa1730f73f663c97c1,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40580441,40580442,1055,dfd35f11f23a55ca51cfd788659a8f2d4c213a88,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40582709,40582710,1056,b93b1d0d1a7f6f0165e56ccbe53501ae851d2d16,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40582741,40582742,1057,051036848a20d2b62c09af139425acf8a2c840dd,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40582759,40582760,1058,b93b1d0d1a7f6f0165e56ccbe53501ae851d2d16,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40636095,40636096,1059,983931e6270375812930f2737e8f70131b5c4a71,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
24605195,24605196,105,85e02e5a0fcb3ee0450a9e67e1a6f73a23c04846,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40644646,40644647,1060,02839ee47af073ce33146e0c9c7d7c8b8e1b72ef,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40714532,40714533,1061,f43391bda2544fc0afcb78ad825b68bea250fed4,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40722026,40722027,1062,f54666cfb3b0f5dd15cd657d6f5241067251f87e,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
40765892,40765893,1063,dfb6e55f8c84fe32e592eb5dbfc0ec19936c4560,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40777391,40777392,1064,9c05acd8c4020f116272c6c9e2433b5e16c9173e,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40777436,40777437,1065,82533d24f6967ccc8b0de3fa563b2a1a53195da8,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40779725,40779727,1066,bbfb3e398fc50ed7b674cfe6fbfe67af1244c8f3,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40788876,40788877,1067,58ee6f2df4c830f73d294d56ea8732273ae52f58,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
40808787,40808788,1068,43d1e24d5082cb62678cf147fcbb6cc9f652d56c,java,broken,1,java-gradle,junit,true,false,,0,,,,,,"",,
40886875,40886876,1069,70396e7e24084c233f87efa6798e198523ff6099,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
24606739,24606741,106,5fece7b5ec4208399feb2a4ed137ef7c3388fa52,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40887051,40887052,1070,86b9b7fbd1d0c4c5495f204305713f34806b9fcf,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
40908642,40908643,1071,82391bf728feb545193330043c11d50895a11f3c,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
40912630,40912631,1072,90be0ed41db90725ce889017803abd9c2779e747,java,broken,3,java-gradle,junit,true,false,,0,,,,,,"",,
41126971,41126972,1073,561fb1f71821a565abaf8ab2b2b665a9d0a49d65,java,broken,0,java-gradle,junit,true,false,,0,,,,,,"",,
41153893,41153894,1074,b299537a13038eb88dfbcb93bb8e15f651c61137,java,broken,2,java-gradle,junit,true,false,,0,,,,,,"",,
