tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
56539552,56539553,1000,5e3c147ced690b89c0398c35073e29e9a780a6b3,java,ok,0,java-maven,junit,true,false,17,0,17,0,,,,"",61.65,79
56543357,56543358,1001,7b86c4e8ebcdd07efe19f6183b85302b417479d4,java,ok,1,java-maven,junit,true,false,17,0,17,0,,,,"",60.00999999999999,78
56545170,56545171,1002,049cf7f474e91ec09d4f7ff46889d717aee0a9a3,java,ok,1,java-maven,junit,true,false,17,0,17,0,,,,"",60.599999999999994,77
56545172,56545173,1003,ad14f3a30c0e830a04ce5b6e214aeac8cad04826,java,ok,0,java-maven,junit,true,false,17,0,17,0,,,,"",60.69999999999999,78
56548318,56548319,1004,61dfac081b68b67a364e3a04b4900b42ba928464,java,ok,1,java-maven,junit,true,false,17,0,17,0,,,,"",67.64,87
56548325,56548326,1005,94df93e18c1af8b1979a9ead40b77bd4e3d9c145,java,ok,0,java-maven,junit,true,false,17,0,17,0,,,,"",70.19999999999999,92
56552840,56552842,1006,ef8bcf80cb0abd02a2b4732502b3b9794ca9c13d,java,ok,1,java-maven,junit,true,false,17,0,17,0,,,,"",63.10000000000001,80
56552860,56552862,1007,b987b8ee6058e463aaf1a9865dd4069f09d11d07,java,ok,0,java-maven,junit,true,false,17,0,17,0,,,,"",59.04,76
56552946,56552947,1008,feb9d775b34156cccda7258d7f2d3f9cf916fef2,java,ok,1,java-maven,junit,true,false,17,0,17,0,,,,"",66.25000000000001,84
56552948,56552949,1009,dc7ac3451a6ad116eea155a2b9052f97e9bbbdf6,java,ok,0,java-maven,junit,true,false,17,0,17,0,,,,"",61.230000000000004,79
