build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156535816,43b00ff40ce1fb8622c3485f77d6d0325c3f1ab9,,validate_description_section,passed,1675,2016-08-31 14:32:27 UTC,"[156535817, 156535821]",push
156520878,4e03f0e9dd4e18430bee10831e81c7989eae1af5,,validate_description_section,passed,1787,2016-08-31 13:42:10 UTC,"[156520879, 156520881]",push
156513644,3423cadb36736541d7a0e9a53d3abfb5d5087345,,validate_description_section,passed,1322,2016-08-31 13:16:50 UTC,"[156513645, 156513648]",push
156491288,d820141beb0eaed18b2fabf4f052cd345697987a,,validate_description_section,passed,1792,2016-08-31 11:42:51 UTC,"[156491289, 156491290]",push
156459537,b57f52de99fd6cb7b2bde230f4c5cd2456befda8,,master,passed,1439,2016-08-31 09:07:11 UTC,"[156459539, 156459541]",push
156459411,34063e57c470fa15a7b09822e2f053bdff7eedfc,,master,passed,1804,2016-08-31 09:06:21 UTC,"[156459412, 156459415]",push
156442800,b71506b8aaed25e9f9256372b4351e4cfd551c68,831,master,passed,1483,2016-08-31 07:40:25 UTC,"[156442801, 156442802]",pull_request
156442715,05f806053602c3ce05636d369eda6a87b229c0fb,,inline_map_syntax_loop_test,passed,1404,2016-08-31 07:39:56 UTC,"[156442716, 156442717]",push
156433129,d9e6edc55aa61877b6ad02e322aeec587136711a,,validate_description_section,failed,930,2016-08-31 06:41:15 UTC,"[156433130, 156433131]",push
156228575,9dd87efd56994c419dc0252b1418ad46a49f1245,830,master,passed,1785,2016-08-30 14:04:27 UTC,"[156228576, 156228577]",pull_request
156228399,758e0236a838beb6d163a431f02e6b2592b0a108,,optimize_imports,passed,1644,2016-08-30 13:58:51 UTC,"[156228400, 156228401]",push
156228282,5a05ac4dc6587018ddec415bc0020d81a5d07dd3,,optimize_imports,passed,1546,2016-08-30 13:56:47 UTC,"[156228284, 156228289]",push
156224890,7e8fe82528541502de80e36f73042da9d2e6f3c1,823,master,passed,1456,2016-08-30 13:44:45 UTC,"[156224891, 156224892]",pull_request
156224883,df9d728c705dceb01ae862c9ce8edfe71bb679e0,,validate_chars,passed,1439,2016-08-30 13:44:42 UTC,"[156224884, 156224885]",push
156214493,d9e6edc55aa61877b6ad02e322aeec587136711a,,validate_exact_navigation,failed,1023,2016-08-30 13:03:56 UTC,"[156214495, 156214498]",push
156184120,3d2f4afeaf19fccd00929cdeedbf54d18aef4b0c,,master,passed,1456,2016-08-30 10:45:51 UTC,"[156184121, 156184122]",push
156047279,bf4337a4976467e89495c0494eabd0ea1e8dacb9,,master,passed,1763,2016-08-29 20:36:49 UTC,"[156047281, 156047284]",push
156047253,8075e4e4687d579069546641cf8f1dd55e158833,,cloudslang-0.9.70,passed,1988,2016-08-29 20:36:48 UTC,"[156047254, 156047255]",push
156047248,8075e4e4687d579069546641cf8f1dd55e158833,,master,passed,2218,2016-08-29 20:36:49 UTC,"[156047249, 156047250]",push
156043209,472d9f30cc0bee9cdfacf48a79dd2c26d987767b,,master,passed,1473,2016-08-29 20:21:21 UTC,"[156043210, 156043211]",push
156041533,d173f118622dfd832f76d73cbf4fb6dc442619da,,master,passed,1460,2016-08-29 20:14:44 UTC,"[156041534, 156041535]",push
156033601,86167047947e48c494199a1e2c885a7157a865e8,,master,passed,1610,2016-08-29 19:45:33 UTC,"[156033602, 156033603]",push
156027226,796c3596049274fdbc5544b1b3a093520df0f155,,master,passed,1425,2016-08-29 19:20:09 UTC,"[156027227, 156027229]",push
156022207,cee2f4187d4afaf33f998f8616f894b97cdfcbf2,,master,passed,1508,2016-08-29 19:13:44 UTC,"[156022208, 156022211]",push
156022178,bec1d87f6411fa1dd2cdf9bde3745a83f02ca051,,cloudslang-0.9.77,errored,44,2016-08-29 19:12:29 UTC,"[156022179, 156022180]",push
156022160,bec1d87f6411fa1dd2cdf9bde3745a83f02ca051,,master,passed,1388,2016-08-29 19:05:20 UTC,"[156022161, 156022165]",push
156021691,b7e4209c6eb33cbcf8d5191c359a674b695d979b,,master,passed,1373,2016-08-29 19:03:56 UTC,"[156021692, 156021693]",push
156019157,f0ea7509e716dda03f01f702e10bf960045982cf,,master,passed,1415,2016-08-29 18:58:07 UTC,"[156019158, 156019159]",push
156019130,604e95b16eb91b19437f28284aa80f08ee4d451b,,cloudslang-0.9.76,passed,1398,2016-08-29 18:50:58 UTC,"[156019131, 156019132]",push
156019118,604e95b16eb91b19437f28284aa80f08ee4d451b,,master,passed,1449,2016-08-29 18:50:05 UTC,"[156019119, 156019120]",push
156017857,432be21764130de0b1456efc11c257dfb51463a4,,master,passed,1404,2016-08-29 18:44:09 UTC,"[156017858, 156017859]",push
156016102,6994e320c41d87bd1e85db39ccaf0a67ec88b5a7,,master,passed,1291,2016-08-29 18:37:44 UTC,"[156016103, 156016104]",push
155996374,2bac05bb28a34fbe4d653476f599aa5a95723c8d,,master,passed,1433,2016-08-29 17:24:37 UTC,"[155996375, 155996376]",push
155996339,745a01249d75fc503fe95ed4bd2df0102b9351ee,,cloudslang-0.9.75,passed,1516,2016-08-29 17:24:37 UTC,"[155996340, 155996341]",push
155996336,745a01249d75fc503fe95ed4bd2df0102b9351ee,,master,passed,1437,2016-08-29 17:24:29 UTC,"[155996337, 155996338]",push
155927865,d3d4392c20ccdff4ed83ca6b7f456ef12e45623f,823,master,passed,1575,2016-08-29 13:04:54 UTC,"[155927866, 155927867]",pull_request
155927862,68ff73a3ff5f3441a00015204972df0465a1dd82,,validate_chars,passed,1455,2016-08-29 13:04:52 UTC,"[155927863, 155927864]",push
