tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
32439281,32439282,1000,d9ced18389a7c73569ae87882080f9d0c2fcee7a,java,unknown,,java-ant,"",false,,,,,,,,,"",,
32446090,32446091,1001,d1ab85f7afe299c0e30e3260737c561b1d5f5efd,java,unknown,,java-ant,"",false,,,,,,,,,"",,
32446201,32446202,1002,312b89c2b0b340bf5d53459aecf743032f982395,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",107.46999999999998,401
32531908,32531909,1003,9429c58a4d05af7b7c15918cfa81c6ee62b16ef4,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",119.47,354
32534145,32534147,1004,0ce47f07b819e0890396923222788826ee4c1fcf,java,broken,,java-maven,junit,true,true,565,2,567,0,,,,EPersonTest#EPersonTest##EPersonTest#EPersonTest##EPersonTest#EPersonTest#,310.24999999999983,
32535242,32535243,1005,57875dada96a81f845cb9bb4596887c3774ef48f,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",79.82000000000002,263
32539584,32539585,1006,a1dffc6a2e970c45e7df09c1f4c898c26a95026d,java,ok,,java-maven,junit,true,true,19,0,19,0,,,,DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#,337.3799999999999,366
32539701,32539702,1007,52329e1b1759a2a2db89f27471371720a137dbf3,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",85.51000000000002,316
32551892,32551893,1008,5e7cb5e10a864469e886e64209b6ef0ca6ee0e92,java,unknown,,java-ant,"",false,,,,,,,,,"",,
32593727,32593728,1009,ab958ba77f985eeccc35d0e6de58a37c7036c1af,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",88.38,334
10470372,10470373,100,11081306e2d10768d29b5871bc334c8723f86e35,java,ok,,java-maven,"",false,,,,,,,,,"",0,0
32606087,32606088,1010,5ae590c46a476f32de8d4823f7caaeb4948b7225,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",105.91,345
32608254,32608255,1011,fa1a9697a7f15ada27eb77e776ada97472757d98,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",105.66,385
32609870,32609871,1012,2a506b421528871c83dece23d517638571da4896,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",79.78,267
32642379,32642380,1013,0cf9543990ee36d7c84e165b466f01718e066eff,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",105.62000000000002,360
32642513,32642514,1014,45813c3b583ab3913ea6757f52b8e592dc07dfd5,java,ok,,java-maven,junit,true,true,19,0,19,0,,,,DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#DOIIdentifierProviderTest#,344.54,413
32644081,32644082,1015,13fdf18b85b910d80c58030d21c4acaec0140551,java,unknown,,java-ant,"",false,,,,,,,,,"",,
32658555,32658556,1016,f24c110fc15cb078e9818641889e75b7ad550bae,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",109.47,366
32662262,32662263,1017,dda41b3384d001622c75abe5fd395115ad72cb98,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",87.83000000000001,273
32662449,32662450,1018,87825440aa320db1f0c8e6819ac87b111eeeb1a9,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",84.72000000000004,314
32667324,32667325,1019,56c8e42f68bab8d6cd91901a608f53d946f8fa2d,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",110.56000000000003,384
10507047,10507048,101,782ba939469d3dab90299320d6590eb9d2815c5a,java,ok,,java-maven,"",false,,,,,,,,,"",0,0
32668697,32668698,1020,759145fb8fc1b0c5e4f15a81e2fecc81b9c19543,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",109.33000000000001,501
32670770,32670771,1021,f631a3d8245b5d7de99721a66c3fd1f29267582d,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",89.4,317
32675664,32675665,1022,39f0e8a6a4c7c97c0f404fd220262842eef30089,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",80.77,301
32787161,32787162,1023,c767287aa1f3fc92e1384859a8c75edf81d756e7,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",68.62,244
32803031,32803032,1024,56d3f4c4ca0ab6cab256c30f8281629f213dabad,java,broken,,java-maven,junit,true,true,568,1,569,0,,,,CollectionTest##CollectionTest##CollectionTest#,199.55000000000007,
32809642,32809643,1025,572209b9daf86963b95787119f16073830a83261,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",92.37999999999995,305
32852922,32852923,1026,b08fbcbc9525d6a0f7ad316673112f5778955040,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",79.98,276
32875279,32875280,1027,58909b4876daf5657cd3b0b2d02974e21c12fa76,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",88.53000000000003,428
32879655,32879656,1028,41b76260af4200ab9d07319030e43262ff8d107f,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",79.13999999999997,289
32939584,32939585,1029,981de3074e17eafc0c5971ab7993653a6e523aae,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",75.88999999999997,281
