build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156395657,90f503ffa9f28fff177c501bbf577b57b3e78cbf,121,master,passed,200,2016-08-31 01:21:41 UTC,"[156395658, 156395659, 156395660]",pull_request
151706621,dac2bec127569a1dddc6886f7909099ab8e6e414,,master,passed,177,2016-08-12 04:17:45 UTC,"[151706622, 151706623, 151706624]",push
151705965,f05ad85f9cf4d8b4adb01f099f17d35e1f214698,,master,passed,172,2016-08-12 04:05:50 UTC,"[151705966, 151705967, 151705968]",push
151703280,5671064ca7adc120d6f3fa8b7b895b318a40d258,,master,passed,177,2016-08-12 03:38:30 UTC,"[151703281, 151703282, 151703283]",push
151679191,c7844169a3f39b5c4f925326f43d68d838b881f7,119,master,errored,205,2016-08-12 00:25:13 UTC,"[151679192, 151679193, 151679194, 151679195]",pull_request
151677773,052e0985086693b08c13e7e1e6bd26498404b61f,119,master,errored,208,2016-08-12 00:02:56 UTC,"[151677774, 151677775, 151677776, 151677777]",pull_request
151412976,6e75d861d9e98f2b9b837cdd67fe7180ea792c8e,118,master,errored,217,2016-08-11 05:12:37 UTC,"[151412977, 151412978, 151412979, 151412980]",pull_request
147357345,bb8a14c7b692ee27891334f0e1c19817b3f73c5c,,master,passed,272,2016-07-26 02:54:21 UTC,"[147357346, 147357348, 147357350, 147357351]",push
147352164,303f6e60b607c43d02f8aea7a87e761a0b2a7223,114,master,passed,263,2016-07-26 02:07:55 UTC,"[147352168, 147352169, 147352172, 147352173]",pull_request
146845717,2302355b24183d7280fa3b760fffb43add93053a,114,master,passed,303,2016-07-23 12:12:40 UTC,"[146845718, 146845719, 146845720, 146845721]",pull_request
146151251,37cf86062eb45e16ac08b1dc55829a6de56d7b21,114,master,errored,232,2016-07-20 16:14:39 UTC,"[146151252, 146151253, 146151254, 146151255]",pull_request
136021224,4a96e87953dfe969d8a8a7c84edb90b74d3327c0,,master,passed,266,2016-06-08 00:18:20 UTC,"[136021225, 136021226, 136021227, 136021228]",push
136021084,9eda4c9ab47063116b90bcd338527375a89aeaf1,,master,passed,280,2016-06-08 00:17:11 UTC,"[136021085, 136021086, 136021087, 136021088]",push
136019961,2a21f3f39eea2c3c3f4d8651b513b5b456170073,,master,passed,266,2016-06-08 00:09:10 UTC,"[136019962, 136019963, 136019964, 136019965]",push
135947074,542002e4f46a7d6015f19825bc90486290ae4a52,110,master,failed,286,2016-06-07 18:29:00 UTC,"[135947075, 135947077, 135947080, 135947083]",pull_request
134909311,58dcdfd47c973765353698e3792815e6484aa8e6,,master,passed,256,2016-06-03 00:49:06 UTC,"[134909312, 134909313, 134909314, 134909315]",push
134674736,bad250dd38b95e9501a46cd85a3a0c1496483363,108,master,passed,257,2016-06-02 08:04:05 UTC,"[134674737, 134674738, 134674739, 134674740]",pull_request
134592442,59388a852cf6931129b67b3ef5eee31b6cf32a4e,,master,passed,301,2016-06-01 21:56:35 UTC,"[134592443, 134592444, 134592445, 134592446]",push
134455034,e9c0d7e89733d9d3bd14efe17c9ee39a682ab32a,108,master,passed,264,2016-06-01 13:59:25 UTC,"[134455039, 134455041, 134455043, 134455045]",pull_request
134450302,21003674fa250639b3d3ba7ffff42e44661684f0,109,master,passed,269,2016-06-01 13:40:43 UTC,"[134450304, 134450306, 134450308, 134450310]",pull_request
134424843,4bebe2e4c9f5bc36cb821ab92d65bb13320044ad,108,master,passed,260,2016-06-01 11:53:41 UTC,"[134424844, 134424845, 134424846, 134424847]",pull_request
134423546,9f811d1b768bd8d07fc07da8983bd637bb46bcf8,108,master,failed,235,2016-06-01 11:47:08 UTC,"[134423547, 134423548, 134423549, 134423550]",pull_request
134309447,ffdf7fd337caa6bd900366c4f88f3d04ed2ae5f7,,master,passed,238,2016-05-31 22:44:30 UTC,"[134309448, 134309449, 134309450, 134309451]",push
134106905,797d045c23bf0ad27151c2f7e8b8cbdb12c5d8ea,107,master,passed,265,2016-05-31 09:03:50 UTC,"[134106906, 134106907, 134106908, 134106909]",pull_request
134060962,3a373cbed143d179e75618ebf4227692a6fdff35,,master,passed,343,2016-05-31 03:34:03 UTC,"[134060963, 134060964, 134060965, 134060966]",push
134004682,6aac6a1e25deb0ab888a8f43d71e7f2b4bc980fe,106,master,passed,276,2016-05-30 20:05:13 UTC,"[134004683, 134004684, 134004685, 134004686]",pull_request
133994170,a138ca44c84f1d46e964e7678c36d993a02d1138,106,master,passed,257,2016-05-30 19:28:45 UTC,"[133994171, 133994172, 133994173, 133994174]",pull_request
128727613,d69325e25e5ed55d6b1b30bd500c2d42ec3b1104,,master,passed,256,2016-05-08 22:41:35 UTC,"[128727614, 128727615, 128727616, 128727617]",push
128727253,18dcfaeee21bf3ba627dbb7d092cf65f1bf096e6,,master,passed,255,2016-05-08 22:39:25 UTC,"[128727254, 128727256, 128727258, 128727259]",push
128727244,8e92962b401436c5f4afd1094996659e62204044,,javafaker-0.10,passed,243,2016-05-08 22:37:43 UTC,"[128727245, 128727246, 128727247, 128727248]",push
128727239,8e92962b401436c5f4afd1094996659e62204044,,master,passed,248,2016-05-08 22:37:43 UTC,"[128727240, 128727241, 128727242, 128727243]",push
128489389,b82428c1f311a6d6fa1badd2ff5f66c5e0dabcf2,,master,passed,236,2016-05-07 10:36:15 UTC,"[128489390, 128489391, 128489392, 128489394]",push
128475009,b7d9f19b0865d3535f2f2efbf789c997eb36f2c8,104,master,passed,302,2016-05-07 08:06:54 UTC,"[128475010, 128475011, 128475012, 128475013]",pull_request
128410652,f4bb18940c833fc63008b50ffe03024efdcfd480,,master,passed,288,2016-05-06 21:33:50 UTC,"[128410653, 128410654, 128410655, 128410656]",push
128407289,0b002c5f53db2ec370156107fa54f7508b9ef9be,103,master,passed,247,2016-05-06 21:19:23 UTC,"[128407290, 128407292, 128407295, 128407297]",pull_request
