tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
41535170,41535171,1001,9a080a957b5cbb6743d513c9fb4c9dac742afcc5,android,broken,1,plain,"",false,,,,,,,,,"",,
41538084,41538085,1002,5c4085612f8705005e8edd364ca2635af2b12dfe,android,ok,2,plain,"",false,,,,,,,,,"",,
41540643,41540644,1003,fec9c092b5e991c69e022cca1cc8ff4436999332,android,broken,2,plain,"",false,,,,,,,,,"",,
41540871,41540872,1004,83f9a2186cad20868ece60bf787537337410fdd7,android,broken,2,plain,"",false,,,,,,,,,"",,
41544350,41544351,1005,51cfa220f0de4546ed8f2b2dc9588859bae85ada,android,broken,2,plain,"",false,,,,,,,,,"",,
41545710,41545711,1006,721769fd6a8268b771b7326fc6ad414ed793d5de,android,broken,3,plain,"",false,,,,,,,,,"",,
41625733,41625735,1007,aa47024565c4aa3fb937888eef830fac12a0b472,android,ok,3,plain,"",false,,,,,,,,,"",,
41625734,41625736,1007,aa47024565c4aa3fb937888eef830fac12a0b472,android,ok,3,plain,"",false,,,,,,,,,"",,
41625820,41625821,1008,4fff92cbcb89ed1f246e91c030ef3f0a9d2834b0,android,ok,3,plain,"",false,,,,,,,,,"",,
41625842,41625843,1009,4fff92cbcb89ed1f246e91c030ef3f0a9d2834b0,android,ok,3,plain,"",false,,,,,,,,,"",,
29571881,29571882,100,cd042e67dbd75bde79f0d53663cee6aaf21c0497,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
41626412,41626413,1010,00f7344f1e038a95c98d6a9861760b89ce4207d4,android,unknown,2,plain,"",false,,,,,,,,,"",,
41626414,41626415,1011,00f7344f1e038a95c98d6a9861760b89ce4207d4,android,unknown,2,plain,"",false,,,,,,,,,"",,
41626630,41626631,1012,8d346520dadca263ee3cd8033859fc50f2928cd3,android,ok,3,plain,"",false,,,,,,,,,"",,
41626634,41626635,1013,8d346520dadca263ee3cd8033859fc50f2928cd3,android,ok,4,plain,"",false,,,,,,,,,"",,
41632873,41632874,1014,67f464d3a02876b6338920c7baa902dbc6a7cb4a,android,unknown,3,plain,"",false,,,,,,,,,"",,
41633060,41633061,1015,657aa08ea186537fd4e62c0c735a722a229e69c0,android,unknown,3,plain,"",false,,,,,,,,,"",,
41633384,41633385,1016,817493112489a8e4d8be3d1e78d5c86973dc82ef,android,ok,3,plain,"",false,,,,,,,,,"",,
41646428,41646429,1017,08dada9d1730a8c699b93c3e49572833e38a22d5,android,broken,2,plain,"",false,,,,,,,,,"",,
41653110,41653111,1018,f3b1ce5dc52ea5ca07ea8120dfd1359b72d457f1,android,broken,2,plain,"",false,,,,,,,,,"",,
41655262,41655263,1019,84536a8614b75720c352fcac6fd43f3898866491,android,broken,4,plain,"",false,,,,,,,,,"",,
29616013,29616014,101,5e228264a0ca370d7e26575bcc3a50f8c5c27d77,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
41677219,41677220,1020,cb90c55f72ad388aa013c713e4e6e8d829798013,android,broken,1,plain,"",false,,,,,,,,,"",,
41679538,41679539,1021,dce2c0bae21b1d9cc77c271eed4ae196e1b85706,android,ok,0,plain,"",false,,,,,,,,,"",,
