tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
88725993,88725994,1000,77438e99339674758b5430e18951d8b33abf0d64,java,ok,5,java-maven,junit,true,false,1479,0,1479,0,,,,"",18.83999999999998,
88725993,88725995,1000,77438e99339674758b5430e18951d8b33abf0d64,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
88726230,88726231,1001,756a6a076db2f63072e767c3ec3311e0b554db30,java,ok,5,java-maven,junit,true,false,1479,0,1479,0,,,,"",15.009999999999964,
88726230,88726232,1001,756a6a076db2f63072e767c3ec3311e0b554db30,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
88732385,88732386,1002,35715752711100f3e476f6ce135f9fb27d656f81,java,ok,5,java-maven,junit,true,false,1479,0,1479,0,,,,"",16.29999999999999,
88732385,88732387,1002,35715752711100f3e476f6ce135f9fb27d656f81,java,unknown,5,java-ant,"",false,,,,,,,,,"",,
88950130,88950131,1003,0e4249a2b6cd4ce71a2980b50dcd9765ad03324c,java,ok,6,java-maven,junit,true,false,1479,0,1479,0,,,,"",19.40000000000006,
88950130,88950132,1003,0e4249a2b6cd4ce71a2980b50dcd9765ad03324c,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
89157311,89157312,1004,ecbf40f900f454297b112225a6e9561d69269d14,java,ok,5,java-maven,junit,true,false,1479,0,1479,0,,,,"",18.97000000000004,
89157311,89157313,1004,ecbf40f900f454297b112225a6e9561d69269d14,java,unknown,5,java-ant,"",false,,,,,,,,,"",,
89223374,89223376,1005,1a5cd04870110f754134d66222a9f8a59a122e09,java,ok,5,java-maven,junit,true,false,1480,0,1480,0,,,,"",21.680000000000053,
89223374,89223378,1005,1a5cd04870110f754134d66222a9f8a59a122e09,java,unknown,5,java-ant,"",false,,,,,,,,,"",,
89262347,89262348,1006,ff192c11f6574c9ceeae5f1e8f9a655ea262a828,java,ok,7,java-maven,junit,true,false,1479,0,1479,0,,,,"",29.84000000000013,
89262347,89262349,1006,ff192c11f6574c9ceeae5f1e8f9a655ea262a828,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
89466709,89466712,1007,52ae85f72940673a6a54bfd18c836d18d07c243c,java,ok,15,java-maven,junit,true,false,1479,0,1479,0,,,,"",29.330000000000098,
89466709,89466713,1007,52ae85f72940673a6a54bfd18c836d18d07c243c,java,unknown,10,java-ant,"",false,,,,,,,,,"",,
89482814,89482816,1008,5ada97ce40217626cb2cdca011fe369d0be6e729,java,ok,5,java-maven,junit,true,false,1480,0,1480,0,,,,"",19.46000000000005,
89482814,89482818,1008,5ada97ce40217626cb2cdca011fe369d0be6e729,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
89490661,89490662,1009,77d1b25b27f0536ad0559468c7902a1bfe6190b8,java,ok,5,java-maven,junit,true,false,1480,0,1480,0,,,,"",19.200000000000053,
89490661,89490663,1009,77d1b25b27f0536ad0559468c7902a1bfe6190b8,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
23011193,23011194,100,41484009964b69f81c91defe22b970f8f2dc5cd5,java,broken,,java-maven,junit,true,true,1207,1,1208,0,,,,"",13.939999999999976,
89535139,89535142,1010,92e3b56a875d183c39aea24b1d9c876cc6a363b1,java,ok,7,java-maven,junit,true,false,1481,0,1481,0,,,,"",17.480000000000004,
89535139,89535145,1010,92e3b56a875d183c39aea24b1d9c876cc6a363b1,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
89547600,89547601,1011,3a392d25152a93ee7b1ad0dc1f33e29846bc16d0,java,ok,6,java-maven,junit,true,false,1482,0,1482,0,,,,"",18.779999999999994,
89547600,89547602,1011,3a392d25152a93ee7b1ad0dc1f33e29846bc16d0,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
89559936,89559937,1012,25fc003994dfbf50297d98a2e9b0f66567f5f354,java,ok,5,java-maven,junit,true,false,1482,0,1482,0,,,,"",19.700000000000006,
89559936,89559941,1012,25fc003994dfbf50297d98a2e9b0f66567f5f354,java,unknown,5,java-ant,"",false,,,,,,,,,"",,
89580035,89580036,1013,03a3b555738731fb28fe4cede9676c9410717b59,java,ok,5,java-maven,junit,true,false,1482,0,1482,0,,,,"",17.440000000000005,
89580035,89580039,1013,03a3b555738731fb28fe4cede9676c9410717b59,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
89581807,89581809,1014,06da5d494d1b65c7e4d3fe632d1de544ff1a3dd7,java,ok,5,java-maven,junit,true,false,1482,0,1482,0,,,,"",15.53999999999997,
