tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
10632908,10632909,1000,9a2866365618b6a82fe4d12922f9535041b31126,java,broken,,java-ant,"",false,,,,,,,,,"",,
10633529,10633530,1001,8bb12c7323cb96652669005f9ec7b8f1250a452a,java,broken,,java-ant,"",false,,,,,,,,,"",,
10634717,10634718,1002,a9f8bcba91be759c011a5611a3a8f9158593fc66,java,broken,,java-ant,"",false,,,,,,,,,"",,
10635417,10635418,1003,be868734e06af5411538819e65a6e04dd016c15f,java,ok,,java-ant,"",false,,,,,,,,,"",,
10635686,10635687,1004,3eab9d4ff1edea34be14d9f9945d41c4aebc940c,java,ok,,java-ant,"",false,,,,,,,,,"",,
10637518,10637519,1005,862b528b346ae093fa13e0944eb23b3b0084d948,java,ok,,java-ant,"",false,,,,,,,,,"",,
10638006,10638007,1006,df31a5fcda6366b0c7ae392bddc49c53b8ca1cdb,java,ok,,java-ant,"",false,,,,,,,,,"",,
10641989,10641990,1007,467ba705c73b54f03283e5b05035e1c46992b441,java,ok,,java-ant,"",false,,,,,,,,,"",,
10645146,10645147,1008,521d26d7c5c7ad8283e0af7042cc122b32156502,java,ok,,java-ant,"",false,,,,,,,,,"",,
10648299,10648300,1009,eeb3fc11ccd8405e274393fa8207c68a47501ea4,java,ok,,java-ant,"",false,,,,,,,,,"",,
2845368,2845369,100,12bedf73cfe02fe4e8ec1f86eda59e74c6db1ca9,java,unknown,,java-ant,"",false,,,,,,,,,"",,
10649809,10649810,1010,740ecfbdeb0066d998185e66a293aab4fd68c632,java,ok,,java-ant,"",false,,,,,,,,,"",,
