build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156545817,5e4e5d65e7ab43c02ba96a529b54df794deef80c,,master,passed,953,2016-08-31 15:06:48 UTC,[156545821],push
156387383,626990d5cfc6cc48ebbce83d8a7453347a7e01ee,,master,passed,822,2016-08-31 00:22:50 UTC,[156387384],push
156384659,7171602f4c0e25c94371a654884ceb6615fad8e2,,master,passed,934,2016-08-31 00:07:09 UTC,[156384660],push
156382314,53f8e06c039d2215445533d6975e4ec311ea012b,2637,master,passed,825,2016-08-30 23:49:41 UTC,[156382315],pull_request
156367516,3c111d277a44afe94dec3f2ebf6b333d01b45663,,master,passed,856,2016-08-30 22:24:22 UTC,[156367517],push
156363802,319a6d57e4ae08ff92081c8d7528fdc79a7b6669,2636,master,passed,795,2016-08-30 22:07:22 UTC,[156363803],pull_request
156362222,4572dd8ca739ab54df3d7de4fe3b01a4b58408b7,2636,master,passed,809,2016-08-30 22:01:47 UTC,[156362223],pull_request
156005053,1d0ae80c498c20d8b0da4d0f3271d0ce69698d46,,master,passed,803,2016-08-29 17:56:23 UTC,[156005054],push
155988893,365a578836cd9fd092660bb9d4d055e6c22677bd,2633,master,passed,966,2016-08-29 16:55:58 UTC,[155988894],pull_request
155971038,345c8c1f2f9ce5b1e96fd3916045b78c4263a35b,2633,master,failed,842,2016-08-29 15:47:54 UTC,[155971039],pull_request
155910027,69d6205a1cb03cfb5af8ce22edb63dc7f18fa83d,,master,passed,945,2016-08-29 11:39:22 UTC,[155910028],push
155881140,41ed7c5afd3d478ed25e358404ed552ec2805f9a,2630,master,passed,802,2016-08-29 09:02:03 UTC,[155881141],pull_request
155829094,698e6ff56a8ad6917c8a80b74944ea6dc2fa35af,2629,master,failed,513,2016-08-29 01:56:53 UTC,[155829095],pull_request
155826014,5c1c9e6bc8b28c3779e500d0cd12168e1e5ba39f,2629,master,failed,629,2016-08-29 01:26:18 UTC,[155826015],pull_request
155825005,33399f8851081a0cd58e4bcb50a4e7657ec96188,2629,master,failed,751,2016-08-29 01:17:08 UTC,[155825006],pull_request
155822285,111950604600ae00dd4f7848436bb3b3a576ce5c,2629,master,failed,336,2016-08-29 00:51:00 UTC,[155822286],pull_request
155820414,dc423cfaee320608b84f8806c82604b791a42322,2629,master,failed,548,2016-08-29 00:28:35 UTC,[155820415],pull_request
155819838,a25df81719b2574ee486b5677f1203d6eb1a6935,2629,master,failed,507,2016-08-29 00:23:58 UTC,[155819839],pull_request
155818119,d9c6e05614544489958d854bf02f051e8c91a02d,2629,master,failed,239,2016-08-29 00:08:44 UTC,[155818120],pull_request
155794133,e8cacd52106d6ce0f10389e1403d4759ce6c3904,,master,passed,800,2016-08-28 21:03:25 UTC,[155794134],push
155793546,e76d5ade63bfc7f64db8111639e73914cc43e2a6,,master,passed,800,2016-08-28 21:00:52 UTC,[155793547],push
155793402,45ee6e565d1e79d6c1c039655e5d58113313127d,,master,passed,866,2016-08-28 20:59:53 UTC,[155793403],push
155518019,f09453f6ccb74ba098c3de4d740a94cfab52073c,,master,passed,847,2016-08-27 03:08:00 UTC,[155518020],push
155399396,a366b86db03fadebad16c2dcd61fbb696a64ff1f,,master,passed,795,2016-08-26 17:08:17 UTC,[155399399],push
155392434,b325907facb328cb7dceb3c7ba213c2d15bb12c7,2571,master,passed,835,2016-08-26 16:40:00 UTC,[155392435],pull_request
155385788,b325907facb328cb7dceb3c7ba213c2d15bb12c7,2571,master,passed,798,2016-08-26 16:11:39 UTC,[155385790],pull_request
155310931,41730138e616b74c7a8e84fb64118a1eb3e12cdd,,master,passed,951,2016-08-26 11:18:41 UTC,[155310932],push
155310925,cd07398f7621a3063747da6feecde4c63f4a8dc6,,master,passed,1267,2016-08-26 11:18:23 UTC,[155310926],push
155306247,0659f2278dd82203bc5049b376419a3888b73a02,2628,master,passed,824,2016-08-26 10:51:57 UTC,[155306248],pull_request
155305655,941bc5e63e42c3da687ca1664214ffa10e0a1d0a,2627,master,passed,859,2016-08-26 10:49:01 UTC,[155305656],pull_request
155294912,f667cf5f37996854acedc69e5dc75b8182de695d,,master,passed,806,2016-08-26 09:58:06 UTC,[155294913],push
155291648,7e464de2cd1559240a3afc0e5c60031371e80120,2621,master,passed,833,2016-08-26 09:41:48 UTC,[155291649],pull_request
155285641,f6ab937470cf254c1fef7ee5fcc446e4744662ce,,master,passed,820,2016-08-26 09:16:49 UTC,[155285642],push
155278204,21a2f817049791cc5d69ec2ab2ed4557552c3caf,2624,master,passed,851,2016-08-26 08:44:01 UTC,[155278205],pull_request
155198671,3c5aded075de4c68b5efb396949e9e9c7af986eb,2623,master,failed,877,2016-08-25 23:03:36 UTC,[155198672],pull_request
155113076,e1ab6480cc72e40a1e659aa2226bde3ba0eb0fe0,,master,passed,822,2016-08-25 17:07:07 UTC,[155113077],push
155107905,c0d82047aea41b1d26fa3546d488988e8867fe73,,master,passed,888,2016-08-25 16:46:41 UTC,[155107906],push
