tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
32209137,32209138,100,00408c35f2e5952e730c0e21feee6e101c9d97b3,python,ok,31,python,"",false,,,,,,,,,"",,
32222893,32222894,101,01dd16cd430ca4e20e0576a90e3f701083bcec18,python,ok,32,python,"",false,,,,,,,,,"",,
32225718,32225719,102,01dd16cd430ca4e20e0576a90e3f701083bcec18,unknown,unknown,,plain,"",false,,,,,,,,,"",,
32225724,32225725,103,028f0436a814663e4c2831cdc6e84c87f3c782fc,python,ok,60,python,"",false,,,,,,,,,"",,
32243985,32243986,104,aaa2ba8689d9896e71a8fcb788ca8e0e739c1e67,python,ok,49,python,"",false,,,,,,,,,"",,
32244853,32244854,105,95862b3f2e74e9700f45a01a090b274a50124d09,python,ok,35,python,"",false,,,,,,,,,"",,
33536234,33536235,106,56e28f48f2c5d55167b5bfd479b5187bd9c297bf,python,ok,42,python,"",false,,,,,,,,,"",,
33567569,33567570,107,bd20a962952b4376d2292644a2f784fd4057df4f,python,ok,82,python,"",false,,,,,,,,,"",,
33592712,33592713,108,790f2ecf18b02453121c71a0f24a0cf5b05518a8,python,ok,60,python,"",false,,,,,,,,,"",,
33739444,33739445,109,860960c38b475715b8f28d9c50e8fb4c752fa0da,python,broken,60,python,"",false,,,,,,,,,"",,
18826117,18826118,10,4f97ccf8e5fa9d03c8d424f669ae78526f8ee757,java,ok,,java-ant,"",false,,,,,,,,,"",,
33741633,33741634,110,fd47a699423c379898c6f37844a5c95410f774ff,python,ok,31,python,"",false,,,,,,,,,"",,
33741841,33741842,111,2aa20d20d672a543bddbb14127fa4987332c9738,python,ok,77,python,"",false,,,,,,,,,"",,
