build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
156591686,8de6a578adc38c3381b7a5ac78a0b0502b2f2119,,hs_staging,errored,3323,2016-08-31 18:59:51 UTC,"[156591687, 156591688, 156591689]",push
156591645,5f960dffef69ce53e21ee489445ddf1601fd230c,1259,master,passed,5146,2016-08-31 18:47:41 UTC,"[156591646, 156591647, 156591648]",pull_request
156591641,a4434e2dd1a13d331ba93dded5f37f3627fab24d,,compression_formats,errored,4045,2016-08-31 18:26:32 UTC,"[156591642, 156591643, 156591644]",push
156589062,cba7313729e8c38ae035d75ed063d040f66dbf6e,,hs_staging,failed,4583,2016-08-31 18:23:57 UTC,"[156589063, 156589064, 156589065]",push
156588874,da6c55b78dd3c5a1403e586bc0addbf20711f287,1259,master,errored,2783,2016-08-31 18:09:19 UTC,"[156588875, 156588876, 156588877]",pull_request
156588863,5ff64849de9b93e48b9acf089b8749fba703f503,,compression_formats,errored,3874,2016-08-31 17:58:12 UTC,"[156588864, 156588865, 156588866]",push
156584387,b30163314f6c756710feeffea94c894c0bde23a7,,hs_staging,errored,2654,2016-08-31 17:47:56 UTC,"[156584389, 156584391, 156584392]",push
156584340,61c5ce949ccbd05dc2cc6d5b2d36877b44beb461,1259,master,passed,5249,2016-08-31 17:22:40 UTC,"[156584341, 156584342, 156584345]",pull_request
156584336,8a21a442d1d761b3416918325f5a50d855e16e6f,,compression_formats,errored,4526,2016-08-31 17:22:39 UTC,"[156584337, 156584338, 156584339]",push
156559583,561bac7a997977b5e16713681275cdc726aaa288,,hs_staging,errored,2666,2016-08-31 16:04:32 UTC,"[156559584, 156559585, 156559586]",push
156558141,8767d36f5140257688367e6644e537ac793ff439,,logfetch_bzip2,errored,3528,2016-08-31 15:47:34 UTC,"[156558143, 156558144, 156558145]",push
156536354,f483a50e3c514955193515a97de29ff3a1112b68,1259,master,failed,4683,2016-08-31 14:50:54 UTC,"[156536355, 156536356, 156536357]",pull_request
156534813,a4116f7c33795c79ca4553524f2004db090f5adf,,compression_formats,passed,4633,2016-08-31 14:42:24 UTC,"[156534814, 156534816, 156534819]",push
156532936,4869e235f0d34558453972c6443a12abdab8f171,,compression_formats,errored,3930,2016-08-31 14:23:10 UTC,"[156532937, 156532940, 156532945]",push
156531911,68d387e6ef55459a74e65fa3eba1e497468bc132,,compression_formats,failed,4947,2016-08-31 14:19:06 UTC,"[156531916, 156531920, 156531922]",push
156509911,723ccc2111ac42e8aaa21ec7cff8ee39e0ad6821,,hs_stable,errored,5756,2016-08-31 13:02:44 UTC,"[156509912, 156509913, 156509914]",push
156360186,5f0b5233ebcc8046480e40ac571ad99376d7add5,,hs_qa,passed,4718,2016-08-31 00:02:03 UTC,"[156360187, 156360188, 156360189]",push
